Cod_setor;tipo.x;bairro;distrito;municipio.x;area.km²;prop_mata;prop_HAND;prop_imper;CLAS_VUL.y;prop_cultivo;prop_pastagem;q_prop_mata;q_prop_imper;q_prop_HAND;Usos.Assoc;Susc;Susc.n;q_prop_cultivo;q_prop_pastagem;VulSoeAm;VulSoeAm.n
311330505000029;URBANO;Caixa D'Ãgua;CARANGOLA;CARANGOLA;0.34068337;0.08593378;0.01002878;0.37785921;1;0;0;3;2;1;5;6;2;NA;NA;3;1
311330505000030;URBANO;Caixa D'Ãgua;CARANGOLA;CARANGOLA;0.05647869;0;0;1;1;0;0;1;2;1;3;4;1;NA;NA;2;1
311330505000036;URBANO;Centro;CARANGOLA;CARANGOLA;0.05339397;0;0.33125875;1;2;0;0;1;2;2;3;5;1;NA;NA;3;1
311330505000037;URBANO;Coroado;CARANGOLA;CARANGOLA;0.07279267;0;0.82177203;1;2;0;0;1;2;3;3;6;2;NA;NA;4;2
311330505000038;URBANO;NA;CARANGOLA;CARANGOLA;0.03144997;0;0;1;2;0;0;1;2;1;3;4;1;NA;NA;3;1
311330505000039;URBANO;NA;CARANGOLA;CARANGOLA;0.22780377;0.31047243;0;0.23990196;2;0;0;3;3;1;6;7;3;NA;NA;5;3
311330505000040;URBANO;NA;CARANGOLA;CARANGOLA;0.01534575;0;0;1;1;0;0;1;2;1;3;4;1;NA;NA;2;1
311330505000041;URBANO;NA;CARANGOLA;CARANGOLA;0.05804997;0;0;0.42622417;2;0;0;1;2;1;3;4;1;NA;NA;3;1
311330505000042;URBANO;TriÃ¢ngulo;CARANGOLA;CARANGOLA;0.59657534;0.05123826;0.10605147;0.12591922;3;0;0;3;3;2;6;8;3;NA;NA;6;3
311330505000043;URBANO;TriÃ¢ngulo;CARANGOLA;CARANGOLA;0.02338884;0;0;1;2;0;0;1;2;1;3;4;1;NA;NA;3;1
311330505000044;URBANO;TriÃ¢ngulo;CARANGOLA;CARANGOLA;0.02806186;0;0.73864241;1;1;0;0;1;2;3;3;6;2;NA;NA;3;1
311330505000045;URBANO;TriÃ¢ngulo;CARANGOLA;CARANGOLA;0.25884211;0;0.23271105;0.50571057;1;0;0;1;2;2;3;5;1;NA;NA;2;1
311330505000046;URBANO;Santo Onofre;CARANGOLA;CARANGOLA;0.04276773;0;1;1;2;0;0;1;2;3;3;6;2;NA;NA;4;2
311330505000047;URBANO;Santo Onofre;CARANGOLA;CARANGOLA;0.02476761;0;1;1;2;0;0;1;2;3;3;6;2;NA;NA;4;2
311330510000001;URBANO;NA;ALVORADA;CARANGOLA;0.57581539;0.03466594;0.40195072;0.1922701;3;0;0;3;3;2;6;8;3;NA;NA;6;3
311330520000001;URBANO;NA;LACERDINHA;CARANGOLA;0.22902872;0;0.32879907;0.13992813;2;0;0;1;3;2;4;6;2;NA;NA;4;2
311330520000006;URBANO;NA;LACERDINHA;CARANGOLA;0.31794711;0.0260197;0.78027673;0.14546706;3;0;0;3;3;3;6;9;3;NA;NA;6;3
311330525000001;URBANO;NA;PONTE ALTA DE MINAS;CARANGOLA;0.57385208;5.6e-7;0.54005998;0.07538857;3;0;0;2;3;2;5;7;3;NA;NA;6;3
312200905000001;URBANO;NA;DIVINO;DIVINO;0.11801006;0;0.04028309;0.78225145;1;0;0;1;1;2;2;4;1;NA;NA;2;1
312200905000002;URBANO;NA;DIVINO;DIVINO;0.54461603;0;0.08783298;0.28029186;2;0;0;1;2;2;3;5;1;NA;NA;3;1
312200905000003;URBANO;NA;DIVINO;DIVINO;0.68323885;0.00859919;0.06953864;0.15764272;3;0;0;2;2;2;4;6;2;NA;NA;5;3
312200905000004;URBANO;NA;DIVINO;DIVINO;0.33186592;0.0397349;0.02095587;0.30077418;2;0;0;3;2;2;5;7;3;NA;NA;5;3
312200905000005;URBANO;NA;DIVINO;DIVINO;0.17466726;0.11816931;0.69722242;0.58333571;3;0;0;3;2;3;5;8;3;NA;NA;6;3
312200905000006;URBANO;NA;DIVINO;DIVINO;0.23858503;0.02603935;0.22178428;0.56574434;1;0;0;2;2;2;4;6;2;NA;NA;3;1
312200905000007;URBANO;NA;DIVINO;DIVINO;0.540001;0.17074754;0;0.29242153;2;0;0;3;2;1;5;6;2;NA;NA;4;2
312200905000008;URBANO;NA;DIVINO;DIVINO;0.10176736;1.9309e-4;0;0.93099055;2;0;0;2;1;1;3;4;1;NA;NA;3;1
312200905000009;URBANO;NA;DIVINO;DIVINO;0.35276727;0.07685404;0.20159492;0.46720434;1;0;0;3;2;2;5;7;3;NA;NA;4;2
312200905000021;URBANO;NA;DIVINO;DIVINO;0.7230002;0;0.53990645;0.24164418;3;0;0;1;2;3;3;6;2;NA;NA;5;3
312200905000022;URBANO;NA;DIVINO;DIVINO;0.10765797;0;0;0.84045204;2;0;0;1;1;1;2;3;1;NA;NA;3;1
312200905000023;URBANO;NA;DIVINO;DIVINO;0.0627642;0;0.67383572;0.9368178;2;0;0;1;1;3;2;5;1;NA;NA;3;1
312200905000024;URBANO;NA;DIVINO;DIVINO;0.06868207;0.00378876;0;0.96336002;1;0;0;2;1;1;3;4;1;NA;NA;2;1
312200905000025;URBANO;NA;DIVINO;DIVINO;0.43689772;0.03634095;0;0.01876702;0;0;0;3;3;1;6;7;3;NA;NA;3;1
312200905000026;URBANO;NA;DIVINO;DIVINO;0.6838612;0.03108998;0.61045703;0.01012856;0;0;0;2;3;3;5;8;3;NA;NA;3;1
312200905000027;URBANO;NA;DIVINO;DIVINO;0.42024402;0;0.13768491;0.41333733;2;0;0;1;2;2;3;5;1;NA;NA;3;1
312200905000028;URBANO;NA;DIVINO;DIVINO;1.01787395;0.02223754;0.46250317;0.00304794;3;0;0;2;3;2;5;7;3;NA;NA;6;3
312200905000029;URBANO;NA;DIVINO;DIVINO;0.11817979;0;0.22371169;0;1;0;0;1;3;2;4;6;2;NA;NA;3;1
312200910000001;URBANO;NA;BOM JESUS DO DIVINO;DIVINO;0.81267843;0.02221809;0.32817023;0.22249385;2;0;0;2;2;2;4;6;2;NA;NA;4;2
312200925000001;URBANO;NA;VILETES;DIVINO;0.39152293;0.03253613;0.87195782;0.06202053;2;0;0;2;3;3;5;8;3;NA;NA;5;3
312490605000001;URBANO;NA;EUGENÃ“POLIS;EUGENÃ“POLIS;0.0754318;0;0.95502958;0.81488828;1;0;0;1;2;3;3;6;2;NA;NA;3;1
312490605000002;URBANO;NA;EUGENÃ“POLIS;EUGENÃ“POLIS;0.14518333;0;0.94105122;0.61408875;2;0;0;1;2;3;3;6;2;NA;NA;4;2
312490605000003;URBANO;NA;EUGENÃ“POLIS;EUGENÃ“POLIS;0.24880988;0;0.84050485;0.71977331;1;0;0;1;2;2;3;5;1;NA;NA;2;1
312490605000004;URBANO;NA;EUGENÃ“POLIS;EUGENÃ“POLIS;0.1615035;0;0.91418223;0.72461779;3;0;0;1;2;3;3;6;2;NA;NA;5;3
312490605000005;URBANO;NA;EUGENÃ“POLIS;EUGENÃ“POLIS;0.07698644;0;0.53294892;0.91293207;2;0;0;1;1;2;2;4;1;NA;NA;3;1
312490605000006;URBANO;NA;EUGENÃ“POLIS;EUGENÃ“POLIS;0.05507578;0.00587064;0.17801527;0.95521752;2;0;0;3;1;2;4;6;2;NA;NA;4;2
312490605000007;URBANO;NA;EUGENÃ“POLIS;EUGENÃ“POLIS;0.37855566;0.10739522;0.12351473;0.11905832;2;0;0;3;3;2;6;8;3;NA;NA;5;3
312490605000008;URBANO;NA;EUGENÃ“POLIS;EUGENÃ“POLIS;0.04142699;0;1;1;1;0;0;1;1;3;2;5;1;NA;NA;2;1
312490605000009;URBANO;NA;EUGENÃ“POLIS;EUGENÃ“POLIS;0.34628024;0;0.88924546;0.35824629;2;0;0;1;3;2;4;6;2;NA;NA;4;2
312490605000014;URBANO;NA;EUGENÃ“POLIS;EUGENÃ“POLIS;0.27975251;0.0082119;0.10618539;0.43134026;3;0;0;3;2;2;5;7;3;NA;NA;6;3
312490605000015;URBANO;NA;EUGENÃ“POLIS;EUGENÃ“POLIS;0.02164837;0;0;1;3;0;0;1;1;1;2;3;1;NA;NA;4;2
312490605000016;URBANO;NA;EUGENÃ“POLIS;EUGENÃ“POLIS;0.04745847;0;0;0.75656569;1;0;0;1;2;1;3;4;1;NA;NA;2;1
312490605000017;URBANO;NA;EUGENÃ“POLIS;EUGENÃ“POLIS;0.23279633;0;0.85242684;0.50653247;2;0;0;1;2;2;3;5;1;NA;NA;3;1
312490610000001;URBANO;NA;GAVIÃƒO;EUGENÃ“POLIS;0.14584673;0;0;0.05027888;2;0;0;1;3;1;4;5;1;NA;NA;3;1
312490615000001;URBANO;NA;PINHOTIBA;EUGENÃ“POLIS;0.21360435;0.0159316;0;0;1;0;0;3;3;1;6;7;3;NA;NA;4;2
312490620000001;URBANO;NA;QUEIROZES;EUGENÃ“POLIS;0.06308404;0.00227046;0;0.41836255;1;0;0;2;2;1;4;5;1;NA;NA;2;1
312530905000001;URBANO;NA;FARIA LEMOS;FARIA LEMOS;0.64033293;0.03867875;0.51029254;0.19044565;1;0;0;3;3;3;6;9;3;NA;NA;4;2
312530905000002;URBANO;NA;FARIA LEMOS;FARIA LEMOS;0.374783;0;0.17393201;0.20520416;1;0;0;1;2;1;3;4;1;NA;NA;2;1
312530905000003;URBANO;NA;FARIA LEMOS;FARIA LEMOS;0.35013772;0.0205001;0.18224526;0.22022477;3;0;0;2;1;2;3;5;1;NA;NA;4;2
312595205000001;URBANO;NA;FERVEDOURO;FERVEDOURO;0.95973833;0.0130689;0.2157646;0.19937888;3;0;0;2;3;2;5;7;3;NA;NA;6;3
312595205000002;URBANO;NA;FERVEDOURO;FERVEDOURO;0.19323317;0;1;0.99696589;2;0;0;1;1;3;2;5;1;NA;NA;3;1
312595205000003;URBANO;NA;FERVEDOURO;FERVEDOURO;0.17775617;0.03232383;0.04080145;0.66347795;1;0;0;2;1;1;3;4;1;NA;NA;2;1
312595205000004;URBANO;NA;FERVEDOURO;FERVEDOURO;0.34721728;0.01382034;0.42299632;0.26703783;1;0;0;2;2;2;4;6;2;NA;NA;3;1
312595205000011;URBANO;NA;FERVEDOURO;FERVEDOURO;0.69252474;0.18524313;0.14096081;0.2152524;1;0;0;3;2;1;5;6;2;NA;NA;3;1
312595205000012;URBANO;NA;FERVEDOURO;FERVEDOURO;0.75760917;0.44526671;0.32303338;0.11371875;2;0;0;3;3;2;6;8;3;NA;NA;5;3
312595210000001;URBANO;NA;BOM JESUS DO MADEIRA;FERVEDOURO;0.15888123;0;0.48498498;0.32242462;0;0;0;1;2;3;3;6;2;NA;NA;2;1
312595220000001;URBANO;NA;SÃƒO PEDRO DO GLÃ“RIA;FERVEDOURO;0.29264465;0.00329628;0.45727024;0.22277014;3;0;0;2;2;2;4;6;2;NA;NA;5;3
314210605000001;URBANO;NA;MIRADOURO;MIRADOURO;0.10295395;0.05267268;0.07431876;0.43160491;1;0;0;3;2;1;5;6;2;NA;NA;3;1
314210605000002;URBANO;NA;MIRADOURO;MIRADOURO;0.09907539;0.03325256;0.0786062;0.5543955;2;0;0;2;2;2;4;6;2;NA;NA;4;2
314210605000003;URBANO;NA;MIRADOURO;MIRADOURO;0.07269608;0;0.00158303;0.69806405;1;0;0;1;1;1;2;3;1;NA;NA;2;1
314210605000004;URBANO;NA;MIRADOURO;MIRADOURO;0.08547528;0.19158709;0.30372115;0.68264181;3;0;0;3;1;3;4;7;3;NA;NA;6;3
314210605000005;URBANO;NA;MIRADOURO;MIRADOURO;0.21233997;0.00384525;0.22154802;0.41308643;2;0;0;2;3;2;5;7;3;NA;NA;5;3
314210605000006;URBANO;NA;MIRADOURO;MIRADOURO;0.22633662;0;0.54101351;0.48815786;2;0;0;1;2;3;3;6;2;NA;NA;4;2
314210605000007;URBANO;NA;MIRADOURO;MIRADOURO;0.51685201;0;0.53956306;0.59612406;1;0;0;1;2;3;3;6;2;NA;NA;3;1
314210605000008;URBANO;NA;MIRADOURO;MIRADOURO;0.04206747;0;0.27008327;1;2;0;0;1;1;2;2;4;1;NA;NA;3;1
314210605000020;URBANO;NA;MIRADOURO;MIRADOURO;0.18141458;0.0454405;0.12981112;0.37575949;3;0;0;3;3;2;6;8;3;NA;NA;6;3
314210605000021;URBANO;NA;MIRADOURO;MIRADOURO;0.16423604;0;0;0.10571364;1;0;0;1;3;1;4;5;1;NA;NA;2;1
314220505000001;URBANO;NA;MIRAÃ;MIRAÃ;0.23210927;0;0.2304951;0.82795896;1;0;0;1;2;2;3;5;1;NA;NA;2;1
314220505000002;URBANO;NA;MIRAÃ;MIRAÃ;1.8605885;0.05116817;0.32737891;0.18251265;2;0;0;3;3;2;6;8;3;NA;NA;5;3
314220505000003;URBANO;NA;MIRAÃ;MIRAÃ;1.3604642;0.06559604;0.08226678;0.14289687;1;0;0;3;3;2;6;8;3;NA;NA;4;2
314220505000004;URBANO;NA;MIRAÃ;MIRAÃ;0.52964404;0;0.38740211;0.3317794;2;0;0;1;2;2;3;5;1;NA;NA;3;1
314220505000005;URBANO;NA;MIRAÃ;MIRAÃ;0.16068148;0.01662233;0.52639265;0.39106417;2;0;0;3;2;3;5;8;3;NA;NA;5;3
314220505000006;URBANO;NA;MIRAÃ;MIRAÃ;0.03837543;0;0.93513089;0.9994004;3;0;0;1;2;3;3;6;2;NA;NA;5;3
314220505000007;URBANO;NA;MIRAÃ;MIRAÃ;0.73947909;0.00837736;0.01424727;0.15910879;2;0;0;2;3;2;5;7;3;NA;NA;5;3
314220505000008;URBANO;NA;MIRAÃ;MIRAÃ;0.04192534;0;0;1;3;0;0;1;1;1;2;3;1;NA;NA;4;2
314220505000009;URBANO;NA;MIRAÃ;MIRAÃ;0.04305728;0;0;1;3;0;0;1;1;1;2;3;1;NA;NA;4;2
314220505000010;URBANO;NA;MIRAÃ;MIRAÃ;0.05363886;0;0.21246537;1;1;0;0;1;1;2;2;4;1;NA;NA;2;1
314220505000011;URBANO;NA;MIRAÃ;MIRAÃ;0.08073772;0;1;0.98560598;1;0;0;1;2;3;3;6;2;NA;NA;3;1
314220505000016;URBANO;NA;MIRAÃ;MIRAÃ;0.27022887;0;0.19624591;0.36001971;2;0;0;1;2;2;3;5;1;NA;NA;3;1
314220505000017;URBANO;NA;MIRAÃ;MIRAÃ;0.3705257;0.01308681;0.58645246;0.42055053;2;0;0;2;2;3;4;7;3;NA;NA;5;3
314220505000018;URBANO;NA;MIRAÃ;MIRAÃ;0.05246656;0;0;0.6747738;1;0;0;1;2;1;3;4;1;NA;NA;2;1
314220505000019;URBANO;NA;MIRAÃ;MIRAÃ;0.04388142;0;0.12701253;1;2;0;0;1;1;2;2;4;1;NA;NA;3;1
314220510000001;URBANO;NA;DORES DA VITÃ“RIA;MIRAÃ;0.32737079;0.07074278;0;0.07348518;1;0;0;3;3;1;6;7;3;NA;NA;4;2
314390605000001;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.05188125;0;1;1;2;0;0;1;2;3;3;6;2;NA;NA;4;2
314390605000002;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.03097082;0;1;1;2;0;0;1;2;3;3;6;2;NA;NA;4;2
314390605000003;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.04921053;0;0.20974921;1;1;0;0;1;2;2;3;5;1;NA;NA;2;1
314390605000004;URBANO;NA;MURIAÃ‰;MURIAÃ‰;0.04451693;0;0.51200925;1;2;0;0;1;2;2;3;5;1;NA;NA;3;1
