Cod_setor;tipo.x;bairro;distrito;municipio.x;CLAS_VUL.y;area.km²;prop_HAND;prop_mata;prop_imper;prop_pastagem;prop_cultivo;q_prop_mata;q_prop_imper;q_prop_HAND;Usos.Assoc;Susc;Susc.n;q_prop_cultivo;q_prop_pastagem;VulSoeAm;VulSoeAm.n
330390605000128;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.558495463619;0;0.38105575429;0.0925228572205;0;0;2;2;1;4;5;1;NA;NA;2;1
330390605000129;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;3;0.108976735034;0.543735716791;0.137844486172;0.853074520625;0;0;2;1;3;3;6;2;NA;NA;5;3
330390605000130;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.0912425816047;0;0.298442929437;0.597956112415;0;0;2;2;1;4;5;1;NA;NA;2;1
330390605000131;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.0302837337833;0;0.132486245031;0.861114757876;0;0;2;1;1;3;4;1;NA;NA;3;1
330390605000132;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.048963605403;0;0;0.97779357161;0;0;1;1;1;2;3;1;NA;NA;3;1
330390605000133;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.0582333119558;0;0;1.00000000001;0;0;1;1;1;2;3;1;NA;NA;2;1
330390605000134;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.0609064722645;2.13721776007e-5;0.0375552903517;0.950053425017;0;0;1;1;2;2;4;1;NA;NA;2;1
330390605000135;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;3;0.229450190541;0;0.253150156379;0.251947226928;0;0;2;2;1;4;5;1;NA;NA;4;2
330390605000136;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.459906936983;0.047288989008;0.354173250237;0.0817376317268;0;0;2;3;2;5;7;3;NA;NA;4;2
330390605000137;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;3;0.164026563451;0;0.485278830716;0.0953433698577;0;0;2;2;1;4;5;1;NA;NA;4;2
330390605000138;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.190750889211;0;0.188138829235;0.193852723703;0;0;2;2;1;4;5;1;NA;NA;3;1
330390605000139;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.0823116283039;0;0.134281189541;0.692405726061;0;0;2;1;1;3;4;1;NA;NA;3;1
330390605000140;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.143306465107;0;0.236863861027;0.272594499916;0;0;2;2;1;4;5;1;NA;NA;2;1
330390605000141;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.852099758102;0;0.330515825454;0.056373603838;0;0;2;3;1;5;6;2;NA;NA;4;2
330390605000142;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.0962520175221;0;0.125666780418;0.254294737831;0;0;2;2;1;4;5;1;NA;NA;2;1
330390605000145;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.306766293224;0;0.512077348942;0.316831112296;0;0;2;2;1;4;5;1;NA;NA;2;1
330390605000151;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.358264800231;0;0.505770771338;0.391415070932;0;0;2;2;1;4;5;1;NA;NA;2;1
330390605000152;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.0412773984391;0;0;0.798629267497;0;0;1;1;1;2;3;1;NA;NA;3;1
330390605000155;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.346905711473;0;0.700854473141;0.240674211804;0;0;3;2;1;5;6;2;NA;NA;3;1
330390605000156;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.181672454587;0;0.486309047646;0.439984762479;0;0;2;2;1;4;5;1;NA;NA;2;1
330390605000157;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.222476493339;0;0.344662115892;0.521759383721;0;0;2;2;1;4;5;1;NA;NA;2;1
330390605000158;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.293605874577;0;0.26508070485;0.642808145542;0;0;2;2;1;4;5;1;NA;NA;3;1
330390605000159;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.128471725504;0;0.107701240843;0.859608144397;0;0;1;1;1;2;3;1;NA;NA;2;1
330390605000160;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.0877259643824;0;0.311116831316;0.688883136161;0;0;2;2;1;4;5;1;NA;NA;2;1
330390605000161;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.0195925543477;0;0;1.00000000003;0;0;1;1;1;2;3;1;NA;NA;2;1
330390605000162;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.0137142818735;0;0;0.999999999964;0;0;1;1;1;2;3;1;NA;NA;2;1
330390605000163;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;2;0.318536856115;0;0.248927008126;0.648293093235;0;0;2;2;1;4;5;1;NA;NA;3;1
330390605000164;URBANO;NA;PETRÃ“POLIS;PETRÃ“POLIS;1;0.31517146033;0;0.374747780574;0.404165773197;0;0;2;2;1;4;5;1;NA;NA;2;1
